n,time_seconds,steps
100,0.00026139999954466475,672
500,0.0007632000006196904,4488
1000,0.0010211999997409293,9976
2000,0.0034313999994992628,21952
5000,0.009320000000116124,61808
10000,0.019744799999898532,133616
