n,time_seconds,steps
100,0.00020040000072185649,672
500,0.0010755999992397847,4488
1000,0.002049499999884574,9976
2000,0.0029410000006464543,21952
5000,0.011743099999875994,61808
10000,0.020483400000557594,133616
