n,time_seconds,steps
100,0.0001661000005697133,672
500,0.0009595999999874039,4488
1000,0.0018900999994002632,9976
2000,0.0024575000006734626,21952
5000,0.00859519999994518,61808
10000,0.02185300000019197,133616
